account_fixture,stage,search_roots,package_form,mount_name,filename,nesting_depth,unrelated_candidates,selected_identity,selection_status,integrity_status,dependency_status,result
account_gamma,generation,fixture/account_gamma/generation,EXTRACTED_DIRECTORY,project-copy,extracted-package,1,3,b1ab9c892d381a56bea4249ac826211304bebd47ae2e459e72bbbdb5da8c6644,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS
account_gamma,features,fixture/account_gamma/features,EXTRACTED_DIRECTORY,project-copy,extracted-package,1,3,c483223b32b65f6f0b7542bb3fb1aaf28fc164facfe6b5904c6ffeab4e86b2bd,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS
account_gamma,diagnostic_output,fixture/account_gamma,ZIP,copy-back,renamed-account_gamma-diagnostic-result.zip,4,19,00d02fe9cc50d18f407ffc246e70246edf9851a42615d9e2fac183ee9dd15a9b,SELECTED_UNIQUE_VALID_PACKAGE,PASS,DIAGNOSTIC_IMPORT_PASS,PASS
account_gamma,preflight_output,fixture/account_gamma,ZIP,copy-back,renamed-account_gamma-preflight-result.zip,4,19,b57e7b231b8e233861d4d4c8904802d93811ab7c48669592f226a9ef1f06c147,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS
account_gamma,generation_output,fixture/account_gamma,ZIP,copy-back,renamed-account_gamma-generation-result.zip,4,19,5dc8ab50daaa02783506710e2c70f0f53c4fb6bc39606f306ca6ba1f08879c7f,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS
account_gamma,features_output,fixture/account_gamma,ZIP,copy-back,renamed-account_gamma-features-result.zip,4,19,43efa74b58d86a9e023cbb914f9b7455bba830a5571b47d92827528d4930f34e,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS
account_gamma,builder_faithful_rehearsal,fixture/account_gamma/rehearsal,ISOLATED_WORKSPACE,project-copy,builder-closure,3,0,69aeff8054017f2eb488c4749807d995c6a61024f675f1e4165727fb8b535db6,COMPLETE_BUILDER_FAITHFUL_SYNTHETIC_REHEARSAL_PASS,PASS,27_BUILDER_STAGES_WITH_REAL_IMPORTERS,PASS
account_delta,diagnostic,fixture/account_delta/diagnostic,ZIP,manual,renamed-package.zip,1,3,5c2fea07731854e3d54899d1f5d3157eb26132be8696f28eab2b75dc92bfd25e,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS
account_delta,preflight,fixture/account_delta/preflight,ZIP,manual,renamed-package.zip,1,3,c2aefaf02d233947cf8d15b0f777aacf463929321330bf9326b7b512aeaaa274,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS
account_delta,generation,fixture/account_delta/generation,ZIP,manual,renamed-package.zip,1,3,b1ab9c892d381a56bea4249ac826211304bebd47ae2e459e72bbbdb5da8c6644,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS
account_delta,features,fixture/account_delta/features,ZIP,manual,renamed-package.zip,1,3,c483223b32b65f6f0b7542bb3fb1aaf28fc164facfe6b5904c6ffeab4e86b2bd,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS
account_delta,diagnostic_output,fixture/account_delta,ZIP,copy-back,renamed-account_delta-diagnostic-result.zip,4,19,00d02fe9cc50d18f407ffc246e70246edf9851a42615d9e2fac183ee9dd15a9b,SELECTED_UNIQUE_VALID_PACKAGE,PASS,DIAGNOSTIC_IMPORT_PASS,PASS
account_delta,preflight_output,fixture/account_delta,ZIP,copy-back,renamed-account_delta-preflight-result.zip,4,19,b57e7b231b8e233861d4d4c8904802d93811ab7c48669592f226a9ef1f06c147,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS
account_delta,generation_output,fixture/account_delta,ZIP,copy-back,renamed-account_delta-generation-result.zip,4,19,5dc8ab50daaa02783506710e2c70f0f53c4fb6bc39606f306ca6ba1f08879c7f,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS
account_delta,features_output,fixture/account_delta,ZIP,copy-back,renamed-account_delta-features-result.zip,4,19,43efa74b58d86a9e023cbb914f9b7455bba830a5571b47d92827528d4930f34e,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS
account_delta,builder_faithful_rehearsal,fixture/account_delta/rehearsal,ISOLATED_WORKSPACE,manual,builder-closure,3,0,69aeff8054017f2eb488c4749807d995c6a61024f675f1e4165727fb8b535db6,COMPLETE_BUILDER_FAITHFUL_SYNTHETIC_REHEARSAL_PASS,PASS,27_BUILDER_STAGES_WITH_REAL_IMPORTERS,PASS
